IDENTIFIER,GSM1338298,GSM1338302,GSM1338306,GSM1338297,GSM1338301,GSM1338305,GSM1338296,GSM1338300,GSM1338304,GSM1338295,GSM1338299,GSM1338303,label
PYY,94.4703,101.8,100.954,99.3744,90.5259,95.3674,99.2061,93.5638,100.18,98.6768,105.349,94.1244,FALSE
SMAD5-AS1,99.557,111.977,95.6678,105.387,97.7368,95.2751,100.609,105.389,95.294,95.1071,102.407,94.745,FALSE
ZNF572,101.59,94.7234,107.423,105.965,102.871,125.509,105.086,95.4,110.028,100.986,112.453,100.256,FALSE
CST6,91.4076,98.213,89.7787,87.2518,93.0859,102.766,414.449,569.72,548.431,306.278,357.698,299.949,FALSE
PMM1,1010.38,935.549,1188.63,1032.71,1107.25,996.378,1195.48,1264.58,1130.17,1132.07,1110.23,1011.18,FALSE
THBS4,100.185,121.512,105.831,108.242,126.674,112.744,111.937,102.483,102.403,102.96,110.946,113.371,FALSE
C14orf39,105.55235,103.04145,98.29805,101.68805,100.6304,92.87495,98.8161,100.34675,100.3751,102.1435,100.41685,95.8896,FALSE
SEMA4A,103.249,101.239,107.666,98.6479,101.886,108.354,143.291,126.789,110.24,136.281,151.997,122.057,FALSE
RPL39,18939.6,19583.3,17540.9,18219.7,19148.3,18151.4,18070.2,16169.9,17465.8,16528.8,16169.9,17225,FALSE
ZNF644,360.0733333,487.351,354.3456667,310.241,327.0436667,313.3153333,501.575,473.3753333,498.4266667,393.4013333,423.0993333,440.5326667,FALSE
MYL5,135.385,149.495,161.023,201.4695,175.864,194.249,136.857,133.053,132.93,159.5805,175.58,160.8705,FALSE
OR1L6,103.276,98.0237,95.9346,94.649,92.3544,104.508,93.138,108.203,100.213,97.1694,102.985,94.9437,FALSE
ZBTB16,100.3992667,100.6046,101.4724667,100.1548333,102.5124667,102.0725667,104.1036667,91.7506,98.9162,104.1120667,102.1672333,103.9432667,TRUE
SPTA1,102.122,93.4453,110.459,104.23,101.364,99.6055,108.772,96.7425,112.418,119.196,105.028,99.9037,FALSE
CCSAP,104.87,106.11,97.3936,103.373,120.852,111.193,119.082,105.615,117.331,129.637,130.487,174.58,FALSE
PLXNA2,101.5356,101.8645,101.32865,101.92155,101.6822,102.55405,102.5955,107.1215,104.20645,106.8775,109.7835,105.3238,FALSE
UEVLD,214.245,211.1615,237.675,220.9375,224.603,196.196,242.226,238.4165,272.6405,206.753,214.8405,241.1095,FALSE
COL11A1,94.345125,97.7978,101.55315,101.6617,98.325575,98.6416,95.551525,96.25875,100.505575,100.178275,100.40195,96.010825,FALSE
PFKFB1,108.508,89.3409,101.685,97.8727,98.0304,92.4099,94.1957,95.6561,94.4992,94.8164,99.2972,92.1849,FALSE
TCF21,98.67813333,100.6929667,102.7520667,98.67303333,98.40796667,98.37663333,97.39383333,109.6433333,97.5844,98.43276667,96.6003,104.9730667,FALSE
GRN,415.519,362.8385,462.6635,712.5015,545.607,601.8125,236.6415,241.1025,264.805,404.972,345.1535,344.614,FALSE
RPS11,17674.6,15487,17225,15283.5,15487,15339.9,16276.1,17034.8,20840.7,15458.7,16439.4,18939.6,FALSE
TTC5,152.525,161.256,154.136,196.369,168.023,205.195,173.883,173.09,184.853,256.645,250.497,213.361,FALSE
GRHL3,97.2916,102.6254333,102.9619,98.17953333,107.0012667,107.188,118.742,110.9693333,117.5508333,127.1992,129.2095333,123.6158667,FALSE
CDH9,99.7984,103.204,106.281,101.273,100.278,98.9999,101.277,99.1049,102.856,98.6234,96.6325,102.844,FALSE
KCNA6,96.9421,106.0425,104.1359,103.9034,96.7345,103.33885,99.8445,104.58135,101.46265,100.9818,105.715,102.57015,FALSE
HIST1H2AB,115.253,103.225,108.85,105.798,95.108,101.971,99.6837,98.6817,100.548,98.6041,103.186,96.2787,FALSE
ZNF584,162.006,152.822,141.764,118.214,134.521,134.95,133.302,156.574,132.46,119.641,124.83,110.547,FALSE
MCF2L,93.9979,91.5454,98.036,96.61135,98.30425,97.0425,106.8761,105.5685,110.3805,124.6323,121.77595,132.652,TRUE
TAF1L,170.54,138.288,162.365,157.941,148.381,139.054,155.331,164.15,157.824,140.612,147.93,137.465,FALSE
MAST4,99.358,94.3889,96.7584,94.6127,91.7503,100.58,98.9602,91.7572,96.2074,99.8598,98.4849,95.9524,FALSE
KCNJ9,96.1286,91.8978,99.2658,101.618,91.3188,91.1238,90.7968,98.1105,92.3708,96.2464,95.0749,126.796,FALSE
PTGES,229.271,235.226,210.374,184.232,166.58,140.278,476.373,501.041,413.565,552.158,610.95,837.794,FALSE
PGPEP1,95.3139,99.2312,100.079,102.491,106.479,105.593,109.992,106.176,108.972,156.779,125.601,99.7694,FALSE
ADAMTS10,116.467,105.762,94.4042,95.386,100.669,108.414,102.826,94.5176,98.5319,97.9961,95.0964,100.716,FALSE
EOGT,457.575,521.7005,448.1325,428.8925,423.804,383.1185,264.4795,280.7025,280.3365,249.4615,245.0185,222.8995,FALSE
GYS2,93.2648,97.9058,104.069,104.794,95.9126,95.5159,94.2358,95.4494,95.4868,89.449,90.3448,91.6271,FALSE
SYNPO2L,94.8237,83.8336,95.1045,94.2065,95.4252,91.4296,93.0221,99.5194,95.1831,95.4642,102.854,100.243,FALSE
UQCC2,1239.76,1248.7,1552.42,1411.06,1254.35,1435.86,1428.09,1332.31,1247.92,1909.84,1942.18,1819.56,FALSE
SLCO1B1,108.791,96.3627,103.75165,109.7465,110.155,106.742,96.9046,104.24965,110.74435,105.05645,100.89505,102.2624,FALSE
TRIM16,122.005,111.8199333,118.5706667,115.8443333,116.5126667,106.9356667,115.9836667,116.081,107.281,123.193,128.3223333,110.72,FALSE
EIF4E3,95.82615,99.9995,95.54405,97.77895,97.0207,97.6101,229.8585,206.3995,240.0605,301.7855,261.0615,250.8455,FALSE
BRINP1,114.366,102.558,118.82,95.1418,98.4995,103.833,95.8936,114.668,87.3145,95.3016,92.0324,91.1051,FALSE
ZBTB18,102.2247667,106.067,100.8114667,102.461,101.7064,105.8226667,111.1076667,101.02,102.9377667,100.4353,103.4136667,105.4686333,FALSE
EIF4A1,11361.4,11238.725,10409.4,8671.615,9700,9136.295,6790.55,7378.07,6140.85,6118.785,6695.64,4783.5,FALSE
COMT,1410.0805,963.443,1291.559,1756.15,1612.675,1400.621,1128.5425,1327.174,1239.2195,1280.0215,1418.972,1241.1755,FALSE
MPP5,324.178,387.028,305.982,271.92,279.186,329.581,384.961,397.052,515.758,366.062,411.125,411.042,FALSE
DPP9,371.732,507.352,432.441,241.063,244.415,281.969,296.052,290.793,284.786,191.819,216.732,182.779,FALSE
LGSN,88.5807,97.00725,99.4872,93.4142,92.72095,93.0737,92.92235,99.64815,93.5175,99.3074,95.9116,101.559,FALSE
RASAL2,109.299875,113.5087,111.214525,114.51425,110.25305,116.652175,113.26875,118.62175,111.39975,140.4043,139.7525,129.970175,FALSE
TPR,335.2801,363.8356,338.5455,326.7995,359.2945,408.849,369.502,374.56925,292.60405,362.9643,351.23555,259.827,FALSE
GAB2,103.7712667,102.6726667,101.7465333,108.5166667,105.7048333,104.22,253.3690667,251.2128667,234.1413333,257.2883333,248.2039,222.9169333,FALSE
NIFK,1106.53,1246.76,960.203,923.335,1391.34,1359.97,1190.04,1279.14,1236.68,937.11,972.46,1165.9,FALSE
MTURN,361.445,338.076,425.022,477.219,438.47,482.434,205.76,177.91,187.794,188.371,154.472,165.979,FALSE
DDX25,95.39365,98.95785,106.749,100.89715,97.12695,102.4239,99.4928,103.4095,99.613,93.0358,103.86365,106.6798,FALSE
KRT73,98.8169,103.229,113.654,106.315,102.675,107.648,100.38,101.354,96.0793,95.5729,104.269,92.9651,FALSE
RXRG,97.59426667,102.3648667,97.53553333,95.23223333,99.00413333,99.88226667,99.91856667,98.08293333,99.14296667,98.72513333,97.66563333,95.3808,FALSE
PIK3R1,155.4456,144.40724,168.01058,274.5474,255.88548,268.0958,124.8857,107.10168,114.95534,163.6146,157.99838,141.25844,TRUE
GCGR,100.498,90.0176,95.0105,91.765,87.2134,91.9564,90.5061,110.059,88.8392,93.6935,102.286,92.2426,FALSE
HCFC1,2354.6,2544.35,2316.61,2058.46,2093.04,2237.45,3837.73,3213.43,2813.46,2864.17,2682.32,2688.54,FALSE
